student_id,pass_final,parental_education,extracurricular,math_score,math_score.1,reading_score,attendance_pct,study_hours_per_week,math_score.2,math_score.3,writing_score,Total
S80000,1.0,Masters,No,57.9,57.9,67.5,88.3,19.4,57.9,57.9,90.3,155.5
S80001,1.0,Masters,No,73.6,73.6,47.5,87.6,15.8,73.6,73.6,65.8,143.03
S80002,1.0,High School,Yes,69.0,69.0,57.9,54.9,1.1,69.0,69.0,79.9,153.53
S80003,1.0,Bachelors,No,80.7,80.7,66.5,54.9,1.7,80.7,80.7,51.4,164.33
S80004,1.0,Bachelors,Yes,59.2,59.2,90.1,79.6,3.4,59.2,59.2,70.3,172.73
S80006,1.0,Masters,Yes,53.7,53.7,58.3,57.5,29.7,53.7,53.7,69.6,135.2
S80008,1.0,Bachelors,No,65.16463414634147,65.16463414634147,70.0,93.5,8.8,65.16463414634147,65.16463414634147,74.3,159.93
S80009,1.0,High School,No,86.1,86.1,56.4,97.2,1.6,86.1,86.1,58.0,161.83
S80010,1.0,Masters,No,86.2,86.2,69.1,72.7,19.1,86.2,86.2,44.0,169.97
S80011,1.0,PhD,No,45.8,45.8,81.8,54.0,19.6,45.8,45.8,71.8,151.53
S80012,0.0,Bachelors,No,88.5,88.5,56.4,62.9,5.3,88.5,88.5,62.4,165.7
S80013,1.0,PhD,Yes,79.0,79.0,57.6,61.6,27.6,79.0,79.0,62.4,157.4
S80014,1.0,Masters,No,65.16463414634147,65.16463414634147,91.7,61.9,24.0,65.16463414634147,65.16463414634147,55.6,175.4
S80015,1.0,PhD,No,77.6,77.6,73.6,74.7,6.9,77.6,77.6,68.72032520325203,174.11
S80016,1.0,Masters,Yes,57.4,57.4,64.3,79.2,14.6,57.4,57.4,67.5,144.2
S80017,0.0,PhD,No,85.4,85.4,68.7,56.1,13.8,85.4,85.4,81.3,181.2
S80018,1.0,PhD,No,66.5,66.5,73.4,94.5,10.5,66.5,66.5,41.4,153.7
S80019,0.0,Masters,Yes,78.3,78.3,67.7,81.0,24.5,78.3,78.3,50.4,162.8
S80020,1.0,PhD,No,55.5,55.5,86.2,79.9,3.3,55.5,55.5,73.6,166.23
S80021,1.0,High School,Yes,69.2,69.2,86.2,99.4,12.5,69.2,69.2,39.0,168.4
S80022,1.0,Bachelors,Yes,78.3,78.3,78.0,81.4,12.8,78.3,78.3,58.2,175.7
S80023,0.0,PhD,Yes,69.6,69.6,71.0,64.3,14.1,69.6,69.6,98.5,173.43
S80024,1.0,PhD,No,73.4,73.4,69.6,64.3,25.8,73.4,73.4,64.0,164.33
S80025,1.0,PhD,No,53.6,53.6,69.6,62.0,6.5,53.6,53.6,76.7,148.77
S80026,0.0,achelors,No,69.6,69.6,69.6,75.4,3.1,69.6,69.6,68.72032520325203,162.11
S80027,0.0,Masters,Yes,53.7,53.7,50.4,75.4,18.5,53.7,53.7,76.7,129.67
S80028,1.0,Bachelors,No,64.7,64.7,69.8,61.3,5.2,64.7,64.7,62.7,155.4
S80029,0.0,Masters,Yes,57.6,57.6,69.8,85.0,2.2,57.6,57.6,71.4,151.2
S80030,0.0,Masters,No,61.9,61.9,64.6,51.5,12.8,61.9,61.9,68.72032520325203,149.41
S80032,1.0,Masters,No,65.4,65.4,85.0,72.9,10.8,65.4,65.4,73.9,175.03
S80033,1.0,PhD,No,63.4,63.4,56.7,84.5,7.8,63.4,63.4,53.0,137.77
S80034,1.0,PhD,No,42.3,42.3,65.5,73.9,2.8,42.3,42.3,68.3,130.57
S80035,1.0,Masters,No,70.1,70.1,51.1,98.9,16.8,70.1,70.1,74.4,146.0
S80036,0.0,High School,No,77.4,77.4,71.3,66.7,0.8,77.4,77.4,60.6,168.9
S80037,1.0,Bachelors,No,69.7,69.7,71.3,99.1,29.0,69.7,69.7,55.1,159.37
S80038,1.0,Masters,No,76.8,76.8,77.7,53.2,10.2,76.8,76.8,61.7,175.07
S80039,1.0,Bachelors,Yes,57.1,57.1,88.9,84.2,20.9,57.1,57.1,81.8,173.27
S80040,1.0,High School,Yes,61.8,61.8,70.8,72.7,24.3,61.8,61.8,79.8,159.2
S80041,1.0,High School,Yes,66.1,66.1,56.2,91.1,8.4,66.1,66.1,77.5,148.13
S80042,1.0,Masters,Yes,67.2,67.2,59.4,89.5,22.5,67.2,67.2,87.6,155.8
S80043,0.0,High School,Yes,29.8,29.8,60.9,90.0,25.0,29.8,29.8,68.1,113.4
S80045,1.0,PhD,Yes,80.0,80.0,98.2,91.1,29.8,80.0,80.0,42.1,192.23
S80046,1.0,PhD,Yes,53.3,53.3,69.1,60.7,0.6,53.3,53.3,56.2,141.13
S80047,1.0,High School,Yes,65.16463414634147,65.16463414634147,86.5,60.9,6.5,65.16463414634147,65.16463414634147,74.6,176.53
S80048,1.0,PhD,Yes,64.2,64.2,68.6,60.9,23.4,64.2,64.2,79.3,159.23
S80049,1.0,High School,No,44.9,44.9,56.1,60.9,5.8,44.9,44.9,68.72032520325203,123.91
S80050,1.0,PhD,No,88.7,88.7,60.2,60.9,20.9,88.7,88.7,66.8,171.17
S80051,1.0,High School,Yes,64.5,64.5,61.3,60.9,25.7,64.5,64.5,96.1,157.83
S80052,1.0,High School,Yes,52.2,52.2,68.5,55.7,28.8,52.2,52.2,66.9,143.0
S80053,1.0,Bachelors,Yes,74.7,74.7,74.9,82.3,14.2,74.7,74.7,86.8,178.53
S80054,1.0,High School,Yes,60.5,60.5,62.1,99.2,29.1,60.5,60.5,72.5,146.77
S80055,1.0,Bachelors,No,65.9,65.9,79.5,80.0,12.3,65.9,65.9,75.3,170.5
S80056,1.0,Masters,No,86.1,86.1,82.6,84.6,6.5,86.1,86.1,56.2,187.43
S80057,1.0,High School,No,56.9,56.9,66.8,78.1,15.4,56.9,56.9,47.1,139.4
S80058,1.0,High School,Yes,82.1,82.1,81.0,89.1,19.5,82.1,82.1,77.4,188.9
S80059,1.0,Bachelors,No,59.9,59.9,46.7,98.8,13.7,59.9,59.9,72.0,130.6
S80060,1.0,Masters,Yes,66.0,66.0,41.7,77.2,17.0,66.0,66.0,68.8,130.63
S80061,1.0,PhD,No,69.5,69.5,80.0,70.8,12.5,69.5,69.5,68.72032520325203,172.41
S80062,0.0,Bachelors,No,65.16463414634147,65.16463414634147,64.9,93.0,15.7,65.16463414634147,65.16463414634147,63.4,151.2
S80063,0.0,achelors,Yes,49.7,49.7,96.4,98.5,28.6,49.7,49.7,60.0,166.1
S80064,1.0,PhD,No,71.8,71.8,68.9,56.5,15.0,71.8,71.8,61.3,161.13
S80065,0.0,High School,No,81.8,81.8,58.0,78.9,7.6,81.8,81.8,71.0,163.47
S80066,1.0,Masters,Yes,74.4,74.4,90.2,89.6,22.8,74.4,74.4,77.2,190.33
S80067,1.0,Masters,No,74.0,74.0,77.9,76.7,10.1,74.0,74.0,71.7,175.8
S80069,1.0,Bachelors,Yes,75.3,75.3,63.0,82.8,1.7,75.3,75.3,69.5,161.47
S80070,1.0,Masters,No,70.4,70.4,74.4,63.5,10.0,70.4,70.4,65.7,166.7
S80071,1.0,PhD,Yes,77.9,77.9,59.5,67.5,2.8,77.9,77.9,57.2,156.47
S80073,0.0,PhD,Yes,74.0,74.0,78.9,81.8,19.8,74.0,74.0,77.7,178.8
S80074,1.0,Bachelors,Yes,57.8,57.8,64.5,93.6,11.6,57.8,57.8,66.5,144.47
S80075,1.0,Masters,Yes,75.4,75.4,58.1,90.4,26.1,75.4,75.4,56.0,152.17
S80077,1.0,Masters,Yes,60.0,60.0,53.3,92.0,8.9,60.0,60.0,55.6,131.83
S80079,1.0,Masters,Yes,117.6,117.6,64.2,81.9,14.52008032128514,117.6,117.6,105.6,217.0
S80080,1.0,High School,Yes,74.8,74.8,61.9,79.5,24.0,74.8,74.8,56.6,155.57
S80081,1.0,Masters,Yes,48.7,48.7,79.2,81.1,19.3,48.7,48.7,67.5,150.4
S80082,1.0,PhD,Yes,44.5,44.5,40.2,58.4,5.0,44.5,44.5,68.72032520325203,107.61
S80083,1.0,Bachelors,Yes,38.8,38.8,77.6,63.9,20.1,38.8,38.8,86.4,145.2
